TransactionID,Date,CustomerID,Product,Quantity,Price,TotalAmount,Month,RevenueCategory,ProductCategory
TID0002,1970-01-01 00:00:00.000045275,UNKNOWN,Product A,8,32.88,263.04,1,High,Category 1
TID0003,1970-01-01 00:00:00.000045197,CUST0001,Product D,10,32.88,328.8,1,High,Category 2
TID0004,1970-01-01 00:00:00.000045033,CUST0006,Product  B,9,32.88,295.92,1,High,Category 1
TID0005,1970-01-01 00:00:00.000044998,UNKNOWN,Product D,2,32.88,65.76,1,Medium,Category 2
TID0006,1970-01-01 00:00:00.000045115,UNKNOWN,Product D,8,32.88,263.04,1,High,Category 2
TID0007,1970-01-01 00:00:00.000044947,CUST0010,Product B,2,32.88,65.76,1,Medium,Category 1
TID0008,1970-01-01 00:00:00.000045182,UNKNOWN,Product B,10,32.88,328.8,1,High,Category 1
TID0009,1970-01-01 00:00:00.000045048,CUST0003,Product B,7,32.88,230.16000000000003,1,High,Category 1
TID0010,1970-01-01 00:00:00.000045141,CUST0004,Product B,12,32.88,394.56000000000006,1,High,Category 1
TID0012,1970-01-01 00:00:00.000045014,CUST0007,Product D,7,32.88,230.16000000000003,1,High,Category 2
TID0013,1970-01-01 00:00:00.000045026,CUST0007,Product B,3,32.88,98.64000000000001,1,Medium,Category 1
TID0014,1970-01-01 00:00:00.000045286,UNKNOWN,Product A,9,32.88,295.92,1,High,Category 1
TID0015,1970-01-01 00:00:00.000045078,CUST0002,Product C,7,32.88,230.16000000000003,1,High,Category 2
TID0018,1970-01-01 00:00:00.000045235,CUST0007,Product D,3,32.88,98.64000000000001,1,Medium,Category 2
TID0020,1970-01-01 00:00:00.000045270,CUST0011,Product B,6,32.88,197.28000000000003,1,Medium,Category 1
